"","Gene","Contrast","Estimate","Pr(>|t|)","FDR","TargetName","RTS_ID"
"1","A2M","normal - DKD",0.0348569971384383,0.946807929452554,0.988915547322986,"A2M","RTS0020877"
"2","A4GALT","normal - DKD",-0.142977561280555,0.285113866259844,0.882899559673926,"A4GALT","RTS0032443"
"3","AAAS","normal - DKD",-0.0747243821866441,0.670877299135715,0.942246488426705,"AAAS","RTS0031938"
"4","AACS","normal - DKD",0.0197362849888125,0.889369639323962,0.978227037035704,"AACS","RTS0034245"
"5","AAGAB","normal - DKD",0.172747728892703,0.155425845567334,0.862121639202495,"AAGAB","RTS0034488"
"6","AAK1","normal - DKD",0.182034351981106,0.40135479665517,0.89808525530235,"AAK1","RTS0031511"
"7","AAMDC","normal - DKD",0.0768943353432341,0.433749398186158,0.901543922554723,"AAMDC","RTS0034499"
"8","AAMP","normal - DKD",0.0214852971653935,0.892620005983391,0.978530912873077,"AAMP","RTS0023622"
"9","AAR2","normal - DKD",-0.0464624855774898,0.78029850858565,0.96218686669691,"AAR2","RTS0031867"
"10","AARS1","normal - DKD",0.230955235580362,0.355930461719565,0.890761257717495,"AARS1","RTS0026523"
"11","AARS2","normal - DKD",0.00407832773249709,0.986603931846757,0.998462152181454,"AARS2","RTS0033538"
"12","AARSD1","normal - DKD",-0.0132782791435361,0.945256468815848,0.988805400239707,"AARSD1","RTS0025898"
"13","AASDHPPT","normal - DKD",0.147492192418213,0.268036735669535,0.882738975620919,"AASDHPPT","RTS0031819"
"14","AASS","normal - DKD",0.225425910754266,0.379690956545839,0.894170600374308,"AASS","RTS0029482"
"15","AATF","normal - DKD",0.0453109900185477,0.717389010054341,0.949418469227941,"AATF","RTS0050058"
"16","ABAT","normal - DKD",0.0905650143732606,0.411875021292427,0.900776020592789,"ABAT","RTS0021399"
"17","ABCA1","normal - DKD",-0.218343426349217,0.376724246590866,0.894170600374308,"ABCA1","RTS0050059"
"18","ABCA2","normal - DKD",0.0761651455903826,0.808623531113089,0.96972734638766,"ABCA2","RTS0050060"
"19","ABCA3","normal - DKD",-0.159327170659847,0.382665123898905,0.894170600374308,"ABCA3","RTS0023624"
"20","ABCA5","normal - DKD",-0.0206799473965416,0.896798953401558,0.979277707248389,"ABCA5","RTS0037316"
"21","ABCB1","normal - DKD",-0.0357304138020374,0.764182034864678,0.95738317176351,"ABCB1","RTS0021614"
"22","ABCB10","normal - DKD",-0.0073724774470429,0.97874678269281,0.997504286093217,"ABCB10","RTS0030562"
"23","ABCB7","normal - DKD",0.135299627656058,0.424233552687354,0.901519767621569,"ABCB7","RTS0028440"
"24","ABCB8","normal - DKD",0.0713387298423064,0.678084428222303,0.942645148651337,"ABCB8","RTS0049487"
"25","ABCB9","normal - DKD",-0.0388418080127481,0.776928388066056,0.961434518423854,"ABCB9","RTS0025715"
"26","ABCC1","normal - DKD",0.152043564505397,0.329002948759866,0.884578444457074,"ABCC1","RTS0028928"
"27","ABCC3","normal - DKD",-0.393199770603887,0.0428752704827303,0.817127136204832,"ABCC3","RTS0024579"
"28","ABCC5","normal - DKD",0.170936478653004,0.397371280863475,0.896270116152559,"ABCC5","RTS0022711"
"29","ABCC6","normal - DKD",-0.212141605504416,0.427818031854126,0.901519767621569,"ABCC6","RTS0025105"
"30","ABCC8","normal - DKD",-0.226354332983208,0.362654473690745,0.894170600374308,"ABCC8","RTS0021154"
"31","ABCD1","normal - DKD",-0.066146006705284,0.710759994317643,0.947434863564492,"ABCD1","RTS0020892"
"32","ABCD3","normal - DKD",0.158171583751937,0.377504302705333,0.894170600374308,"ABCD3","RTS0023992"
"33","ABCD4","normal - DKD",-0.0913599907650497,0.391206121025963,0.89561192526617,"ABCD4","RTS0049488"
"34","ABCE1","normal - DKD",-0.00709698217109546,0.972680632817736,0.995715012955641,"ABCE1","RTS0023197"
"35","ABCF1","normal - DKD",0.177036446097359,0.416303935663473,0.901519767621569,"ABCF1","RTS0023627"
"36","ABCF2","normal - DKD",0.216279048468617,0.0711838405417896,0.817127136204832,"ABCF2","RTS0030448"
"37","ABCF3","normal - DKD",0.0270646353820319,0.884911990308734,0.978138788796815,"ABCF3","RTS0032951"
"38","ABCG1","normal - DKD",-0.217867293713903,0.38542599576033,0.894170600374308,"ABCG1","RTS0050064"
"39","ABHD11","normal - DKD",-0.325204575903739,0.000176360638537167,0.0379137849314795,"ABHD11","RTS0036721"
"40","ABHD12","normal - DKD",0.0516906568861783,0.702271935103436,0.94698238811699,"ABHD12","RTS0031906"
"41","ABHD14A","normal - DKD",-0.142565598137705,0.575409464436088,0.924615710023273,"ABHD14A","RTS0031812"
"42","ABHD14B","normal - DKD",0.344550432587438,0.0689375452238409,0.817127136204832,"ABHD14B","RTS0035397"
"43","ABHD16A","normal - DKD",0.378718529068999,0.357101844446066,0.890761257717495,"ABHD16A","RTS0033775"
"44","ABHD17A","normal - DKD",-0.115659909712264,0.796327908274945,0.9665998135583,"ABHD17A","RTS0024166"
"45","ABHD17C","normal - DKD",-0.0359043986501023,0.79641166348702,0.9665998135583,"ABHD17C","RTS0033807"
