gene,beta
RTS0020877,-0.0243064
RTS0020893,-0.0301943
RTS0020898,-0.00744654
RTS0020915,0.00301385
RTS0020917,0.00934574
RTS0020927,-0.0542789
RTS0020999,0.00357236
RTS0021026,-0.0324627
RTS0021027,0.000140826
RTS0021110,0.0325142
RTS0021114,0.0274594
RTS0021143,-0.00303152
RTS0021145,0.00597288
RTS0021163,0.0424329
RTS0021165,-0.00300034
RTS0021234,0.00350612
RTS0021264,-0.100104
RTS0021291,0.0405023
RTS0021292,0.00807151
RTS0021309,-0.0233232
RTS0021367,0.00648935
RTS0021389,0.0176819
RTS0021428,0.00507326
RTS0021617,0.109293
RTS0021647,-0.000482086
RTS0021650,0.0280493
RTS0021651,0.0456873
RTS0021653,0.0108968
RTS0021656,-0.00104742
RTS0021657,0.000594894
RTS0021663,0.00242647
RTS0021671,0.0111471
RTS0021673,0.0312983
RTS0021738,-0.0227279
RTS0021783,0.000819799
RTS0021788,0.00484885
RTS0021795,0.0127715
RTS0021797,-0.141089
RTS0022034,0.00107055
RTS0022214,-0.034436
RTS0022263,0.0136328
RTS0022277,-0.118557
RTS0022279,0.0466106
RTS0022374,0.0098818
RTS0022428,0.00817149
RTS0022468,0.000204618
RTS0022660,0.0618102
RTS0022703,0.00670413
RTS0022704,0.0121913
RTS0022746,-0.017039
RTS0022779,-0.0799605
RTS0022823,0.00158929
RTS0022887,0.00237173
RTS0023027,-0.000186004
RTS0023097,0.00543828
RTS0023230,0.000665074
RTS0023243,-0.00169879
RTS0023356,0.016607
RTS0023600,0.0130648
RTS0023645,0.00203502
RTS0023776,-0.0067578
RTS0023904,-0.0185393
RTS0024065,0.00151246
RTS0024415,-0.0209132
RTS0024557,0.0129032
RTS0024604,0.000119311
RTS0024682,0.00158658
RTS0024685,0.00289375
RTS0024806,-0.00549062
RTS0024823,0.000753696
RTS0024837,0.0223816
RTS0024912,0.00167945
RTS0024971,0.00229432
RTS0024977,-0.0125142
RTS0025037,0.00492024
RTS0025143,-0.0013045
RTS0025303,-0.00631029
RTS0025346,0.000326173
RTS0025440,-0.000332872
RTS0025579,-0.0010257
RTS0025588,0.0263539
RTS0025699,0.0197372
RTS0025778,0.00569529
RTS0026007,-0.00903973
RTS0026215,0.000232455
RTS0026366,0.000178927
RTS0026417,-0.000332594
RTS0026419,-0.0149428
RTS0026487,0.0054835
RTS0026491,0.0144129
RTS0026503,0.111921
RTS0026624,-0.0252182
RTS0026629,-0.00155174
RTS0026687,0.0141137
RTS0026726,0.0340035
RTS0026729,0.0650475
RTS0026736,0.00879872
RTS0026744,0.0736015
RTS0026748,0.0112229
RTS0026754,-0.0271996
