gene,beta
RTS0020877,0.00264528
RTS0020893,-0.0183334
RTS0020915,-0.0378044
RTS0020917,0.000570956
RTS0020927,-5.02223
RTS0020940,-0.00010499
RTS0021026,-3.00431
RTS0021106,-0.00121641
RTS0021110,0.000590814
RTS0021143,-2.81354
RTS0021163,1.7746
RTS0021165,-0.000324039
RTS0021264,-0.180743
RTS0021291,0.248138
RTS0021309,-3.84257
RTS0021349,-0.000911198
RTS0021617,10.0441
RTS0021650,-0.640312
RTS0021651,-0.000799876
RTS0021653,-0.000147406
RTS0021658,-0.195265
RTS0021738,-1.67482
RTS0021788,-0.000586047
RTS0021797,-14.0653
RTS0021878,0.00159257
RTS0022214,-0.443284
RTS0022277,1.84645
RTS0022279,3.27786
RTS0022468,0.000277886
RTS0022660,8.93311
RTS0022704,-0.000161289
RTS0022779,0.0110251
RTS0022788,-0.000807581
RTS0022823,-0.000767363
RTS0022887,-0.000109086
RTS0023904,0.511367
RTS0024316,-6.74781
RTS0024557,0.00109259
RTS0024977,-1.96015
RTS0025204,-0.00019723
RTS0026007,-0.000161531
RTS0026417,-0.00258643
RTS0026491,0.000339129
RTS0026503,8.26345
RTS0026624,0.00058555
RTS0026685,0.04571
RTS0026726,0.0972448
RTS0026729,9.48251
RTS0026740,-0.0390117
RTS0026744,5.03381
RTS0026754,-0.00085368
RTS0026882,0.000699098
RTS0026921,-0.00519345
RTS0026936,3.86793
RTS0027024,-0.00475966
RTS0027030,-4.36186
RTS0027078,2.54294
RTS0027107,1.52298
RTS0027174,-0.00345672
RTS0027384,3.1621
RTS0027417,0.0019684
RTS0027502,-0.000200643
RTS0027510,-0.000103972
RTS0027514,-1.24097
RTS0027721,0.0006819
RTS0027872,0.000580559
RTS0028176,0.00328122
RTS0028260,-0.000146711
RTS0028282,0.000498268
RTS0028882,-4.62133
RTS0028883,0.000153876
RTS0028951,-7.72201
RTS0029087,-1.61653
RTS0029114,-0.00453039
RTS0029187,2.73202
RTS0029311,0.000210769
RTS0029353,-0.000151032
RTS0029386,0.000557654
RTS0029392,0.000115232
RTS0029470,-0.00112902
RTS0029608,-0.483877
RTS0029611,-0.000152997
RTS0029629,-3.58306
RTS0029645,0.000185103
RTS0029718,0.000688143
RTS0029741,-2.294
RTS0029981,0.000957776
RTS0029986,0.000343085
RTS0030012,-0.000497987
RTS0030068,-0.000456559
RTS0030184,0.861433
RTS0030255,-0.00126905
RTS0030332,0.00456715
RTS0030528,0.000328797
RTS0030862,2.29643
RTS0031321,-2.32617
RTS0031471,-16.842
RTS0031505,0.00103271
RTS0031637,0.000100153
RTS0031916,-0.384896
RTS0032017,1.06546
RTS0032031,8.27773
RTS0032188,-4.00037
RTS0032411,-0.00108978
RTS0032412,-6.23339
RTS0033253,0.361057
RTS0033440,-2.52246
RTS0033546,0.000303474
RTS0033745,0.00224469
RTS0033755,-0.000103463
RTS0033849,-2.84344
RTS0034089,0.000231589
RTS0034288,-5.33548
RTS0034865,-0.000732187
RTS0034993,0.000384461
RTS0035137,0.000583619
RTS0035570,-0.0134858
RTS0035698,-0.000812218
RTS0037343,0.00232504
RTS0037601,0.0475285
RTS0037875,0.181399
RTS0038576,-0.00202766
RTS0038986,-0.000832346
RTS0049713,0.0122186
RTS0049745,-0.000125506
RTS0049908,1.24658
RTS0049909,0.00359743
RTS0049987,-3.74649
RTS0050115,-1.15232
RTS0050127,0.000116707
RTS0050230,0.00017626
RTS0050247,0.00119089
RTS0050469,0.000228913
RTS0050499,9.00544
RTS0050542,-0.000171619
RTS0050651,-0.00139846
RTS0050704,0.000727895
RTS0050717,-0.000329648
RTS0050732,0.000201377
RTS0050819,-0.000373343
RTS0050835,8.11043
RTS0050848,-3.85211
RTS0050924,-0.0351578
RTS0051048,-1.25688
RTS0051078,-0.000893362
RTS0051130,0.000401469
RTS0051166,-0.000729519
RTS0051276,-0.00407553
RTS0051476,0.000339361
RTS0051653,0.000211823
RTS0051658,13.0777
RTS0051836,0.000577832
RTS0051855,0.347557
RTS0052001,-0.00149577
RTS0052004,-0.0439732
RTS0052005,0.000805346
RTS0052006,3.37123
RTS0052008,0.0134898
