gene,beta
RTS0020920,0.00203638
RTS0020927,-4.49293
RTS0020948,0.00010918
RTS0021026,-5.41604
RTS0021087,0.00135124
RTS0021110,-14.5573
RTS0021163,9.66279
RTS0021264,-14.1575
RTS0021291,17.019
RTS0021292,7.62185
RTS0021309,-0.000169433
RTS0021348,0.000123587
RTS0021357,-0.00595889
RTS0021389,4.58031
RTS0021430,0.000264524
RTS0021617,12.4167
RTS0021647,0.000191981
RTS0021650,0.001935
RTS0021651,4.28641
RTS0021653,0.000115975
RTS0021667,0.0053649
RTS0021671,0.0244892
RTS0021673,1.31736
RTS0021674,0.00035649
RTS0021738,-8.67424
RTS0021788,-0.00616583
RTS0021795,-0.0201817
RTS0021797,-16.7144
RTS0022109,0.00455153
RTS0022130,-0.00219875
RTS0022214,-1.89403
RTS0022277,-20.8983
RTS0022279,3.43387
RTS0022335,0.00186449
RTS0022374,0.000523379
RTS0022660,7.18749
RTS0022704,-0.0376249
RTS0022746,-1.83457
RTS0022779,-1.14081
RTS0022788,-0.00118025
RTS0022823,-0.00306086
RTS0022836,-0.0303534
RTS0022887,0.00067376
RTS0023230,0.000623376
RTS0023243,0.000283
RTS0023356,-0.000294956
RTS0023628,0.000198566
RTS0024557,0.000288523
RTS0024604,-0.511639
RTS0024977,0.00202726
RTS0025143,0.00191977
RTS0025332,-0.00174785
RTS0025588,1.65338
RTS0025699,0.000443625
RTS0025778,0.00034936
RTS0026419,-2.27256
RTS0026491,-0.00331753
RTS0026503,6.2549
RTS0026615,0.000113927
RTS0026624,-4.36684
RTS0026726,1.7503
RTS0026729,9.69546
RTS0026740,2.93388
RTS0026744,15.5236
RTS0026754,0.124136
RTS0026842,3.98627
RTS0026882,-4.13939
RTS0026921,-3.56059
RTS0026923,-0.00219807
RTS0026936,4.82683
RTS0027078,-0.000236658
RTS0027098,-3.60834
RTS0027107,0.000610255
RTS0027150,0.000116774
RTS0027174,-0.191168
RTS0027384,0.355332
RTS0027417,-0.467021
RTS0027502,4.20119
RTS0027590,1.98549
RTS0027682,0.000149974
RTS0028046,0.000258364
RTS0028212,-0.000113194
RTS0028260,-4.12251
RTS0028271,-0.000826954
RTS0028282,-0.000209953
RTS0028881,-0.000250433
RTS0028882,-1.64617
RTS0028885,-4.49414
RTS0028951,-5.8449
RTS0029187,2.79808
RTS0029231,0.000154964
RTS0029309,0.000122977
RTS0029311,-0.00013431
RTS0029546,-0.000116381
RTS0029741,4.34994
RTS0029805,0.0108775
RTS0030162,0.335688
RTS0030184,0.000151013
RTS0030196,-0.000964391
RTS0030255,-2.31847
RTS0030263,-0.000567278
RTS0030299,0.00027698
RTS0030332,0.000244166
RTS0031304,-0.312043
RTS0031321,0.000983982
RTS0031397,-0.0819311
RTS0031471,-29.8818
RTS0032017,3.95241
RTS0032031,5.51809
RTS0032103,0.000121135
RTS0032188,-10.1675
RTS0032193,-0.729084
RTS0032411,-1.35337
RTS0032412,-0.000641399
RTS0032576,0.000293747
RTS0032887,-0.0002801
RTS0033253,0.000783301
RTS0033440,2.49264
RTS0033741,-0.000365022
RTS0033745,0.166605
RTS0033755,0.000161529
RTS0033819,-0.000546131
RTS0033849,-8.53882
RTS0033954,-3.98164
RTS0034279,0.000485036
RTS0034288,-5.84592
RTS0034675,-0.000650427
RTS0034865,-0.00221457
RTS0034924,-0.0305921
RTS0034975,0.000253891
RTS0035137,0.381364
RTS0035201,0.00157683
RTS0035570,-2.71782
RTS0035900,0.000143391
RTS0036017,-0.000101946
RTS0036709,0.000832194
RTS0036725,-0.127854
RTS0037601,1.59988
RTS0037875,-2.52368
RTS0038304,-0.00028469
RTS0038346,0.00179662
RTS0038576,1.50264
RTS0039036,0.000175032
RTS0039039,-0.0118411
RTS0049713,-0.000122944
RTS0049734,0.0417184
RTS0049908,6.94715
RTS0049909,0.000241287
RTS0049910,0.000158864
RTS0049987,-11.3692
RTS0050115,0.473605
RTS0050230,4.36443
RTS0050247,-0.527423
RTS0050362,0.000143324
RTS0050469,0.59616
RTS0050499,10.5209
RTS0050521,-0.00208236
RTS0050806,4.98201
RTS0050848,-8.03085
RTS0051029,0.0031079
RTS0051048,-5.40884
RTS0051130,-3.88437
RTS0051166,0.389794
RTS0051276,0.780423
RTS0051301,-0.00032482
RTS0051328,0.00101627
RTS0051423,-0.00321594
RTS0051479,-0.000670974
RTS0051593,-0.0191455
RTS0051637,0.000148918
RTS0051658,5.64525
RTS0051836,3.33626
RTS0051854,0.62258
RTS0051855,3.2752
RTS0051861,0.00131071
RTS0051976,1.57004
RTS0052001,5.11705
RTS0052003,4.11227
RTS0052004,1.84681
RTS0052005,1.7132
RTS0052006,6.44479
RTS0052008,7.48683
RTS0052009,0.000212976
