gene,beta
RTS0020877,-0.0249679
RTS0020881,-0.00975048
RTS0020893,0.00197786
RTS0020897,0.00722543
RTS0020898,-0.00461447
RTS0020909,0.00701985
RTS0020915,0.0025597
RTS0020927,-0.0554324
RTS0020940,-0.000472958
RTS0020949,-0.0167787
RTS0020999,0.0159118
RTS0021026,-0.0294373
RTS0021027,0.00027098
RTS0021040,0.000350319
RTS0021062,0.00492633
RTS0021087,0.000412085
RTS0021099,0.000197932
RTS0021110,-0.142524
RTS0021114,0.0219086
RTS0021143,-0.00515158
RTS0021145,0.00861292
RTS0021163,0.093128
RTS0021165,-0.00217091
RTS0021264,-0.104289
RTS0021270,0.00374159
RTS0021291,0.0609349
RTS0021292,0.0297379
RTS0021309,-0.0121103
RTS0021348,0.0144186
RTS0021357,0.0099922
RTS0021367,0.00178375
RTS0021369,0.00645192
RTS0021386,0.00266697
RTS0021389,0.0620874
RTS0021397,0.00672564
RTS0021606,0.000260746
RTS0021617,0.0857621
RTS0021647,-0.00684562
RTS0021650,0.0432297
RTS0021651,0.0396763
RTS0021653,0.00744089
RTS0021658,0.0145987
RTS0021663,0.00243909
RTS0021667,0.00798082
RTS0021673,0.0396596
RTS0021730,-0.000274388
RTS0021738,-0.0578819
RTS0021788,0.0294291
RTS0021795,0.0292498
RTS0021797,-0.101353
RTS0021922,0.000510568
RTS0022034,0.0041566
RTS0022109,0.0132384
RTS0022154,-0.000414155
RTS0022166,0.011503
RTS0022193,0.00181876
RTS0022195,0.00044721
RTS0022214,-0.0441034
RTS0022277,-0.131556
RTS0022279,0.0510574
RTS0022281,0.000281503
RTS0022343,0.00726419
RTS0022468,0.00259205
RTS0022507,0.00299281
RTS0022528,0.00350098
RTS0022565,-0.00299712
RTS0022609,-0.000722059
RTS0022613,0.000603156
RTS0022660,0.0611587
RTS0022703,0.017573
RTS0022704,0.0202122
RTS0022734,-0.00130793
RTS0022746,-0.0317196
RTS0022757,0.00525955
RTS0022779,-0.04992
RTS0022783,0.00466647
RTS0022788,-0.0199952
RTS0022823,0.0052971
RTS0022833,0.000913894
RTS0022836,0.00935729
RTS0022887,0.00084568
RTS0022896,0.0102188
RTS0022910,-0.00361265
RTS0022916,-0.00292724
RTS0023050,0.002729
RTS0023052,0.000947997
RTS0023097,0.00482145
RTS0023120,0.000306376
RTS0023230,0.00612625
RTS0023243,-0.00751284
RTS0023334,0.000183685
RTS0023356,0.00832169
RTS0023462,0.000422191
RTS0023533,0.0035288
RTS0023645,0.0101368
RTS0023657,-0.000199444
RTS0023776,-0.00307625
RTS0023800,0.0109591
RTS0023904,-0.0124381
RTS0024150,0.000821714
RTS0024316,0.00158488
RTS0024487,0.00789327
RTS0024557,0.00459416
RTS0024604,0.00071457
RTS0024664,0.00317262
RTS0024685,0.000664783
RTS0024737,0.00144206
RTS0024780,0.0105333
RTS0024823,0.0025595
RTS0024837,0.0220789
RTS0024971,0.00664356
RTS0024977,-0.00993135
RTS0024988,0.00237862
RTS0025143,-0.00414618
RTS0025247,0.00502033
RTS0025332,0.00649726
RTS0025492,-0.000355
RTS0025568,0.00283844
RTS0025579,-0.000348872
RTS0025588,0.023987
RTS0025699,0.0201653
RTS0025704,-0.00422621
RTS0025730,0.00450286
RTS0025734,-0.00030053
RTS0025819,0.000238866
RTS0025849,-0.000111509
RTS0025938,0.0100701
RTS0026007,0.00824524
RTS0026237,0.00180902
RTS0026359,0.00131975
RTS0026417,-0.0017534
RTS0026449,-0.00325362
RTS0026491,0.00417692
RTS0026503,0.0870274
RTS0026566,-0.00173083
RTS0026624,-0.0477981
RTS0026647,0.00811116
RTS0026654,0.0132298
RTS0026668,0.0080475
RTS0026711,-0.00289343
RTS0026726,0.017057
RTS0026729,0.0667819
RTS0026740,0.00278779
RTS0026744,0.142794
RTS0026754,-0.028379
RTS0026787,0.000883797
RTS0026830,0.000280923
RTS0026842,0.0571641
RTS0026864,-0.000936896
RTS0026882,-0.0492156
RTS0026915,0.000274999
RTS0026921,-0.0390404
RTS0026923,-0.0061353
RTS0026936,0.0519552
RTS0026937,0.00171772
RTS0026959,0.000232477
