""	"RTS_ID"	"TargetName"	"Module"	"CodeClass"	"ProbeID"	"Negative"
"RTS0020877"	"RTS0020877"	"A2M"	"TAP_H_WTA_v1.0"	"Endogenous"	"35614"	FALSE
"RTS0020878"	"RTS0020878"	"NAT2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35615"	FALSE
"RTS0020879"	"RTS0020879"	"ACADM"	"TAP_H_WTA_v1.0"	"Endogenous"	"35616"	FALSE
"RTS0020880"	"RTS0020880"	"ACADS"	"TAP_H_WTA_v1.0"	"Endogenous"	"35617"	FALSE
"RTS0020881"	"RTS0020881"	"ACAT1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35618"	FALSE
"RTS0020882"	"RTS0020882"	"ACVRL1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35619"	FALSE
"RTS0020883"	"RTS0020883"	"PSEN1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35620"	FALSE
"RTS0020884"	"RTS0020884"	"ADA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35621"	FALSE
"RTS0020885"	"RTS0020885"	"SGCA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35622"	FALSE
"RTS0020886"	"RTS0020886"	"ADRB2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35623"	FALSE
"RTS0020887"	"RTS0020887"	"ADRB3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35624"	FALSE
"RTS0020888"	"RTS0020888"	"AGL"	"TAP_H_WTA_v1.0"	"Endogenous"	"35625"	FALSE
"RTS0020890"	"RTS0020890"	"AGXT"	"TAP_H_WTA_v1.0"	"Endogenous"	"35626"	FALSE
"RTS0020892"	"RTS0020892"	"ABCD1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35627"	FALSE
"RTS0020893"	"RTS0020893"	"ALDOB"	"TAP_H_WTA_v1.0"	"Endogenous"	"35628"	FALSE
"RTS0020894"	"RTS0020894"	"AMPD1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35629"	FALSE
"RTS0020895"	"RTS0020895"	"APC"	"TAP_H_WTA_v1.0"	"Endogenous"	"35630"	FALSE
"RTS0020896"	"RTS0020896"	"APOA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35631"	FALSE
"RTS0020897"	"RTS0020897"	"APOC3"	"TAP_H_WTA_v1.0"	"Endogenous"	"430"	FALSE
"RTS0020898"	"RTS0020898"	"APOE"	"TAP_H_WTA_v1.0"	"Endogenous"	"35632"	FALSE
"RTS0020899"	"RTS0020899"	"APOH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35633"	FALSE
"RTS0020901"	"RTS0020901"	"ARG1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35634"	FALSE
"RTS0020902"	"RTS0020902"	"ARSB"	"TAP_H_WTA_v1.0"	"Endogenous"	"35635"	FALSE
"RTS0020904"	"RTS0020904"	"ASL"	"TAP_H_WTA_v1.0"	"Endogenous"	"35636"	FALSE
"RTS0020905"	"RTS0020905"	"ASPA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35637"	FALSE
"RTS0020906"	"RTS0020906"	"ASS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35638"	FALSE
"RTS0020907"	"RTS0020907"	"ATM"	"TAP_H_WTA_v1.0"	"Endogenous"	"35639"	FALSE
"RTS0020908"	"RTS0020908"	"ATP7A"	"TAP_H_WTA_v1.0"	"Endogenous"	"35640"	FALSE
"RTS0020909"	"RTS0020909"	"ATP7B"	"TAP_H_WTA_v1.0"	"Endogenous"	"35641"	FALSE
"RTS0020910"	"RTS0020910"	"AVPR2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35642"	FALSE
"RTS0020911"	"RTS0020911"	"BLM"	"TAP_H_WTA_v1.0"	"Endogenous"	"35643"	FALSE
"RTS0020912"	"RTS0020912"	"BRCA2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35644"	FALSE
"RTS0020913"	"RTS0020913"	"BTD"	"TAP_H_WTA_v1.0"	"Endogenous"	"35645"	FALSE
"RTS0020914"	"RTS0020914"	"BTK"	"TAP_H_WTA_v1.0"	"Endogenous"	"35646"	FALSE
"RTS0020915"	"RTS0020915"	"SERPING1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35647"	FALSE
"RTS0020916"	"RTS0020916"	"C2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35648"	FALSE
"RTS0020917"	"RTS0020917"	"C3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35649"	FALSE
"RTS0020918"	"RTS0020918"	"C6"	"TAP_H_WTA_v1.0"	"Endogenous"	"35650"	FALSE
"RTS0020919"	"RTS0020919"	"C8B"	"TAP_H_WTA_v1.0"	"Endogenous"	"35651"	FALSE
"RTS0020920"	"RTS0020920"	"CA2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35652"	FALSE
"RTS0020921"	"RTS0020921"	"CACNA1S"	"TAP_H_WTA_v1.0"	"Endogenous"	"35653"	FALSE
"RTS0020922"	"RTS0020922"	"CBS"	"TAP_H_WTA_v1.0"	"Endogenous"	"35654"	FALSE
"RTS0020923"	"RTS0020923"	"CD36"	"TAP_H_WTA_v1.0"	"Endogenous"	"35655"	FALSE
"RTS0020924"	"RTS0020924"	"CD3G"	"TAP_H_WTA_v1.0"	"Endogenous"	"35656"	FALSE
"RTS0020925"	"RTS0020925"	"CD40LG"	"TAP_H_WTA_v1.0"	"Endogenous"	"35657"	FALSE
"RTS0020926"	"RTS0020926"	"CDK4"	"TAP_H_WTA_v1.0"	"Endogenous"	"35658"	FALSE
"RTS0020927"	"RTS0020927"	"CDKN1C"	"TAP_H_WTA_v1.0"	"Endogenous"	"35659"	FALSE
"RTS0020929"	"RTS0020929"	"CETP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35660"	FALSE
"RTS0020930"	"RTS0020930"	"CHRNE"	"TAP_H_WTA_v1.0"	"Endogenous"	"35661"	FALSE
"RTS0020931"	"RTS0020931"	"LYST"	"TAP_H_WTA_v1.0"	"Endogenous"	"35662"	FALSE
"RTS0020932"	"RTS0020932"	"ERCC8"	"TAP_H_WTA_v1.0"	"Endogenous"	"35663"	FALSE
"RTS0020933"	"RTS0020933"	"CLCN1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35664"	FALSE
"RTS0020934"	"RTS0020934"	"CLCN5"	"TAP_H_WTA_v1.0"	"Endogenous"	"35665"	FALSE
"RTS0020935"	"RTS0020935"	"CLN3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35666"	FALSE
"RTS0020936"	"RTS0020936"	"CNGA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35667"	FALSE
"RTS0020937"	"RTS0020937"	"COL1A1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35668"	FALSE
"RTS0020938"	"RTS0020938"	"COL1A2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35669"	FALSE
"RTS0020940"	"RTS0020940"	"COL4A3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35670"	FALSE
"RTS0020942"	"RTS0020942"	"COL5A1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35671"	FALSE
"RTS0020944"	"RTS0020944"	"COMP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35672"	FALSE
"RTS0020945"	"RTS0020945"	"CP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35673"	FALSE
"RTS0020946"	"RTS0020946"	"CPOX"	"TAP_H_WTA_v1.0"	"Endogenous"	"35674"	FALSE
"RTS0020947"	"RTS0020947"	"CPT2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35675"	FALSE
"RTS0020948"	"RTS0020948"	"CST3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35676"	FALSE
"RTS0020949"	"RTS0020949"	"CSTB"	"TAP_H_WTA_v1.0"	"Endogenous"	"35677"	FALSE
"RTS0020951"	"RTS0020951"	"CYP17A1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35678"	FALSE
"RTS0020952"	"RTS0020952"	"CYP19A1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35679"	FALSE
"RTS0020953"	"RTS0020953"	"CYP1B1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35680"	FALSE
"RTS0020954"	"RTS0020954"	"CYP2D6"	"TAP_H_WTA_v1.0"	"Endogenous"	"35681"	FALSE
"RTS0020955"	"RTS0020955"	"DDB2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35682"	FALSE
"RTS0020956"	"RTS0020956"	"DLD"	"TAP_H_WTA_v1.0"	"Endogenous"	"35683"	FALSE
"RTS0020958"	"RTS0020958"	"SLC26A3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35684"	FALSE
"RTS0020959"	"RTS0020959"	"SLC26A2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35685"	FALSE
"RTS0020960"	"RTS0020960"	"TOR1A"	"TAP_H_WTA_v1.0"	"Endogenous"	"35686"	FALSE
"RTS0020961"	"RTS0020961"	"EDN3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35687"	FALSE
"RTS0020962"	"RTS0020962"	"EMD"	"TAP_H_WTA_v1.0"	"Endogenous"	"35688"	FALSE
"RTS0020963"	"RTS0020963"	"EPB42"	"TAP_H_WTA_v1.0"	"Endogenous"	"35689"	FALSE
"RTS0020964"	"RTS0020964"	"EPHX1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35690"	FALSE
"RTS0020965"	"RTS0020965"	"EPOR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35691"	FALSE
"RTS0020967"	"RTS0020967"	"ERCC5"	"TAP_H_WTA_v1.0"	"Endogenous"	"35692"	FALSE
"RTS0020968"	"RTS0020968"	"ESR1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35693"	FALSE
"RTS0020969"	"RTS0020969"	"EXT1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35694"	FALSE
"RTS0020970"	"RTS0020970"	"F11"	"TAP_H_WTA_v1.0"	"Endogenous"	"35695"	FALSE
"RTS0020971"	"RTS0020971"	"F13A1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35696"	FALSE
"RTS0020972"	"RTS0020972"	"F5"	"TAP_H_WTA_v1.0"	"Endogenous"	"35697"	FALSE
"RTS0020973"	"RTS0020973"	"F9"	"TAP_H_WTA_v1.0"	"Endogenous"	"35698"	FALSE
"RTS0020974"	"RTS0020974"	"FABP2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35699"	FALSE
"RTS0020975"	"RTS0020975"	"FANCA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35700"	FALSE
"RTS0020976"	"RTS0020976"	"FAH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35701"	FALSE
"RTS0020978"	"RTS0020978"	"MS4A2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35702"	FALSE
"RTS0020979"	"RTS0020979"	"FECH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35703"	FALSE
"RTS0020980"	"RTS0020980"	"FGFR2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35704"	FALSE
"RTS0020981"	"RTS0020981"	"FH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35705"	FALSE
"RTS0020982"	"RTS0020982"	"FSHR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35706"	FALSE
"RTS0020983"	"RTS0020983"	"FUCA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35707"	FALSE
"RTS0020984"	"RTS0020984"	"FUT1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35708"	FALSE
"RTS0020986"	"RTS0020986"	"FUT6"	"TAP_H_WTA_v1.0"	"Endogenous"	"35709"	FALSE
"RTS0020987"	"RTS0020987"	"G6PC"	"TAP_H_WTA_v1.0"	"Endogenous"	"35710"	FALSE
"RTS0020989"	"RTS0020989"	"GALC"	"TAP_H_WTA_v1.0"	"Endogenous"	"35711"	FALSE
"RTS0020990"	"RTS0020990"	"GALK1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35712"	FALSE
"RTS0020991"	"RTS0020991"	"GALT"	"TAP_H_WTA_v1.0"	"Endogenous"	"35713"	FALSE
"RTS0020992"	"RTS0020992"	"GBE1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35714"	FALSE
"RTS0020993"	"RTS0020993"	"GCDH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35715"	FALSE
"RTS0020994"	"RTS0020994"	"GCGR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35716"	FALSE
"RTS0020995"	"RTS0020995"	"GCH1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35717"	FALSE
"RTS0020997"	"RTS0020997"	"GHR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35718"	FALSE
"RTS0020998"	"RTS0020998"	"GIPR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35719"	FALSE
