""	"construct"	"read_pattern"	"expected_neg"	"slide name"	"class"	"segment"	"area"	"region"	"pathology"	"nuclei"
"DSP-1001250007851-H-A02.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	31797.59	"glomerulus"	"abnormal"	16871
"DSP-1001250007851-H-A03.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	16920.1	"glomerulus"	"abnormal"	17684
"DSP-1001250007851-H-A04.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	14312.33	"glomerulus"	"abnormal"	15108
"DSP-1001250007851-H-A05.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	20032.84	"glomerulus"	"abnormal"	15271
"DSP-1001250007851-H-A06.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	27583.26	"glomerulus"	"abnormal"	18256
"DSP-1001250007851-H-A07.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	18164.84	"glomerulus"	"abnormal"	16899
"DSP-1001250007851-H-A08.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	25827.59	"glomerulus"	"abnormal"	17658
"DSP-1001250007851-H-A09.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	12021.51	"glomerulus"	"abnormal"	18679
"DSP-1001250007851-H-A10.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	22156.95	"glomerulus"	"abnormal"	16803
"DSP-1001250007851-H-A11.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	26042.71	"glomerulus"	"abnormal"	18590
"DSP-1001250007851-H-A12.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	14519.38	"glomerulus"	"abnormal"	19000
"DSP-1001250007851-H-B01.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	24344.16	"glomerulus"	"abnormal"	15982
"DSP-1001250007851-H-B02.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	19077.46	"glomerulus"	"abnormal"	16229
"DSP-1001250007851-H-B03.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	21760.92	"glomerulus"	"abnormal"	19612
"DSP-1001250007851-H-B04.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	20961.11	"glomerulus"	"abnormal"	19269
"DSP-1001250007851-H-B05.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	19698.46	"glomerulus"	"abnormal"	16041
"DSP-1001250007851-H-B06.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	19074.88	"glomerulus"	"abnormal"	14578
"DSP-1001250007851-H-B07.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	18329.61	"glomerulus"	"abnormal"	18799
"DSP-1001250007851-H-B08.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	21006.46	"glomerulus"	"abnormal"	15977
"DSP-1001250007851-H-B09.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	25569.54	"glomerulus"	"abnormal"	19052
"DSP-1001250007851-H-B10.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	25085.55	"glomerulus"	"abnormal"	18464
"DSP-1001250007851-H-B11.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	26709.05	"glomerulus"	"abnormal"	17967
"DSP-1001250007851-H-B12.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	22800.22	"glomerulus"	"abnormal"	18626
"DSP-1001250007851-H-C01.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	27694.13	"glomerulus"	"abnormal"	16140
"DSP-1001250007851-H-C02.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	19642.94	"glomerulus"	"abnormal"	16742
"DSP-1001250007851-H-C03.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	29678.81	"glomerulus"	"abnormal"	15818
"DSP-1001250007851-H-C04.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	18317.35	"glomerulus"	"abnormal"	17937
"DSP-1001250007851-H-C05.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	16730.8	"glomerulus"	"abnormal"	16590
"DSP-1001250007851-H-C06.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	20956.11	"glomerulus"	"abnormal"	18444
"DSP-1001250007851-H-C07.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	17982.8	"glomerulus"	"abnormal"	14653
"DSP-1001250007851-H-C08.dcc"	"directPCR"	"2x27"	0	"disease3"	"DKD"	"Geometric Segment"	27578.42	"glomerulus"	"abnormal"	18423
